restaurant_name,zip_code,inspection_date,score,address,facility_id,process_description,serialid
La Hacienda Market,78758,2013-10-03,89,"1812 PAYTON GIN RD AUSTIN, TX 78758 (30.365605231000472, -97.71717771699969)",2804030,Routine Inspection,17493
Church's Chicken,78744,2014-01-07,90,"5309 NUCKOLS CROSSING RD AUSTIN, TX 78744 (30.19255470300044, -97.7392645869997)",10000709,Routine Inspection,17494
McDonalds,78705,2012-04-26,91,"414 W MARTIN LUTHER KING JR BLVD AUSTIN, TX 78705 (30.282036846000437, -97.74296349799965)",2801928,Routine Inspection,17495
Starbright Preschool,78704,2013-11-22,100,"3900 VALLEY VIEW RD AUSTIN, TX 78704 (30.233474869000474, -97.78344780099968)",10254059,Routine Inspection,17496
Southfield Bistro / Lizard Rock Cafe,78704,2013-12-03,87,"4000 S IH 35 SVRD SB AUSTIN, TX 78704 (30.242780136000476, -97.76555783599969)",10526350,Routine Inspection,17497
Randall's #2490-Retail,78759,2011-03-10,84,"10900 RESEARCH BLVD SB AUSTIN, TX 78759 (30.401444280000476, -97.74624194299969)",2803863,Routine Inspection,17498
Janitzio Mexican Restaurant,78705,2012-02-17,88,"600 W MARTIN LUTHER KING JR BLVD AUSTIN, TX 78705 (30.282466787000487, -97.74448309499968)",10531243,Routine Inspection,17499
Greater Calvary Baptist Church,78723,2012-01-03,94,"6510 BERKMAN DR AUSTIN, TX 78723 (30.318634691000454, -97.68980505999968)",2800850,Routine Inspection,17500
SV - Mama Fu's,78749,2013-01-18,96,"5400 BRODIE LN Unit 1200 SUNSET VALLEY, TX 78749 (30.23036697900045, -97.81990629599966)",10517284,Routine Inspection,17501
Foreign and Domestic Food & Drink,78751,2012-06-06,97,"306 E 53RD ST AUSTIN, TX 78751 (30.316925998000443, -97.71954772099969)",10411131,Routine Inspection,17502
Fast Food Store,78721,2011-11-19,100,"4611 E MARTIN LUTHER KING JR BLVD AUSTIN, TX 78721 (30.285943029000464, -97.68162766399968)",2804099,Routine Inspection,17503
Seoul Asian Market,78751,2013-09-20,87,"5610 N LAMAR BLVD Bldg B AUSTIN, TX 78751 (30.325016700000447, -97.72696686299969)",10137430,Routine Inspection,17504
Cafe Eurest at HRW,78758,2011-12-01,80,"10801 N MOPAC EXPY NB AUSTIN, TX 78758 (30.373952330000463, -97.7398995369997)",2801635,Routine Inspection,17505
Deerpark Middle School,78729,2012-10-16,97,"8849 ANDERSON MILL RD AUSTIN, TX 78729 (30.454453715000454, -97.77197205699969)",10538425,Routine Inspection,17506
Cici's Pizza #58,78753,2012-12-11,82,"9717 N LAMAR BLVD Bunit 2 AUSTIN, TX 78753 (30.36621520200049, -97.69522350199969)",2800805,Routine Inspection,17507
Flamingo Cantina,78701,2012-02-16,94,"515 E 6TH ST AUSTIN, TX 78701 (30.26661346500049, -97.73770827299967)",2800628,Routine Inspection,17508
Barnes and Nobles Booksellers,78613,2011-09-09,100,"14010 N US 183 HWY SVRD AUSTIN, TX 78613 (30.50265057000047, -97.82549718699966)",2801399,Routine Inspection,17509
Randalls #2483-Food,78703,2013-09-30,97,"715 EXPOSITION BLVD AUSTIN, TX 78703 (30.283754240000462, -97.7763756919997)",2800961,Routine Inspection,17510
Panda Express #1651,78749,2012-05-29,97,"4301 W WILLIAM CANNON DR Bunit 100 AUSTIN, TX 78749 (30.222226532000434, -97.83897529099966)",10145377,Routine Inspection,17511
House Wine,78704,2011-07-27,93,"408 JOSEPHINE ST AUSTIN, TX 78704 (30.26181660600048, -97.7587268049997)",10116079,Routine Inspection,17512
Hao-Hao Restaurant,78745,2011-04-05,89,"1901 W WILLIAM CANNON DR AUSTIN, TX 78745 (30.202354509000486, -97.80487021699969)",2800035,Routine Inspection,17513
Red Lobster #95,78752,2012-03-16,97,"109 W ANDERSON LN EB AUSTIN, TX 78752 (30.344005154000456, -97.70589384799968)",2800250,Routine Inspection,17514
Hill-Berts Burgers,78703,2012-02-14,89,"1503 W 35TH ST AUSTIN, TX 78703 (30.306237886000474, -97.7496080359997)",10071135,Routine Inspection,17515
Popham Elementary School(New),78617,2011-09-20,86,"7014 ELROY RD AUSTIN, TX 78617 (30.15829279300044, -97.64319540699967)",2801056,Routine Inspection,17516
Flea Market #K (Corn Stand),78754,2013-09-28,97,"9500 E US 290 HWY SVRD WB AUSTIN, TX 78754 (30.35125319900044, -97.65755837899968)",2800936,Routine Inspection,17517
Burnet Food Mart,78756,2013-06-04,97,"5300 BURNET RD AUSTIN, TX 78756 (30.325918036000473, -97.73967202399967)",2803497,Routine Inspection,17518
Whataburger #709,78729,2011-04-06,86,"13201 N FM 620 RD AUSTIN, TX 78729 (30.450901555000485, -97.76774771799967)",2801398,Routine Inspection,17519
SV - BJ's Restaurant & Brewhouse,78745,2013-12-03,93,"5207 BRODIE LN Unit 300 SUNSET VALLEY, TX 78745 (30.23160350200044, -97.81887585999965)",10029239,Routine Inspection,17520
